,da_number,cwa_determination,slopegradd,slopegradw,brockdepmi,wtdepannmi,wtdepaprju,flodfreqdc,flodfreqma,pondfreqpr,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswet,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdc,urbrecptwt,forpehrtdc,hydclprs,awmmfpwwta
5201,MVP-2018-02300-RJH,0,3.0,3.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,,100.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5202,MVP-2018-02306-AIS,0,2.0,2.0,0.0,15.0,15.0,0.0,0.0,100.0,5.63,9.48,17.56,26.06,3.0,3.0,6.0,,100.0,2.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0
5203,MVP-2018-02320-WMS,0,2.0,2.1,0.0,60.0,60.0,0.0,0.0,2.0,3.78,5.44,7.98,10.48,4.0,4.0,0.0,,100.0,4.0,93.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0
5204,MVP-2018-02324-MHK,0,1.5,1.4,0.0,50.0,50.0,0.0,0.0,15.0,5.43,9.58,16.8,22.98,3.0,3.0,5.0,,100.0,2.0,93.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.289,1.0,15.0,1.0
5205,MVP-2018-02406-RJH,0,4.0,3.9,0.0,0.0,0.0,0.0,0.0,5.0,4.76,7.3,12.04,16.29,5.0,5.0,3.0,,100.0,2.0,100.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.064,2.0,0.0,1.0
5206,MVP-2018-02411-ANM,0,4.0,3.8,0.0,0.0,0.0,0.0,0.0,6.0,5.71,8.63,11.81,13.86,5.0,5.0,2.0,,100.0,2.0,100.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.082,2.0,3.0,1.0
5207,MVP-2018-02420-JMB,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,3.26,5.53,7.73,7.0,7.0,0.0,,100.0,4.0,97.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.683,1.0,0.0,1.0
5208,MVP-2018-02427-JRS,0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,97.0,5.01,6.7,10.29,13.63,2.0,2.0,6.0,,100.0,2.0,98.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,1.0,87.0,1.0
5209,MVP-2018-02446-RAN,0,9.0,8.5,0.0,86.0,86.0,0.0,0.0,0.0,5.23,9.49,15.32,19.8,4.0,4.0,2.0,,100.0,3.0,94.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.999,3.0,0.0,1.0
5210,MVP-2018-02451-MHK,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.6,13.86,19.86,5.0,5.0,1.0,,100.0,3.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.014,2.0,0.0,0.041
5211,MVP-2018-02453-AIS,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5212,MVP-2018-02458-ANM,0,4.0,3.9,0.0,74.0,74.0,0.0,0.0,2.0,5.34,8.59,13.56,18.09,4.0,4.0,2.0,,100.0,2.0,98.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.046,2.0,2.0,1.0
5213,MVP-2018-02499-RJH,0,2.0,2.0,0.0,25.0,25.0,0.0,0.0,0.0,4.9,7.15,12.64,22.07,3.0,3.0,5.0,,100.0,3.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,8.0,1.0
5214,MVP-2018-02500-KJH,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,5.78,11.18,19.88,27.39,2.0,2.0,6.0,,100.0,2.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
5215,MVP-2018-02503-JMB,0,2.0,2.0,0.0,15.0,15.0,0.0,0.0,10.0,5.43,10.4,15.82,18.99,3.0,3.0,6.0,,100.0,2.0,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
5216,MVP-2018-02520-MHK,0,2.0,2.0,0.0,61.0,61.0,0.0,0.0,0.0,5.6,8.86,17.22,26.22,3.0,3.0,2.0,,100.0,2.0,90.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.048,1.0,4.0,0.999
5217,MVP-2018-02526-ANM,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,9.29,14.93,17.68,5.0,5.0,2.0,,100.0,2.0,100.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.032,2.0,0.0,1.0
5218,MVP-2018-02579-AIS,0,4.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,5.74,10.67,18.73,23.91,5.0,5.0,1.0,,100.0,2.0,93.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.031,2.0,0.0,0.053
5219,MVP-2018-02582-RJH,0,4.0,3.7,0.0,66.0,66.0,0.0,0.0,10.0,4.51,8.35,14.16,19.15,4.0,4.0,2.0,,100.0,2.0,100.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.129,2.0,10.0,1.0
5220,MVP-2018-02584-AIS,0,2.5,2.4,0.0,0.0,0.0,0.0,0.0,96.0,5.28,8.03,14.07,24.07,4.0,4.0,6.0,,100.0,2.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0
5221,MVP-2018-02622-MHK,0,9.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,5.63,9.2,9.2,9.2,5.0,5.0,3.0,,100.0,4.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.04,3.0,0.0,1.0
