,da_number,wb_area_sum_2500m,wb_gnis_name_ind_count_2500m,wb_ftype_artificialpath_2500m,wb_ftype_canalditch_2500m,wb_ftype_coastline_2500m,wb_ftype_connector_2500m,wb_ftype_pipeline_2500m,wb_ftype_streamriver_2500m,fl_areasqkm_sum_2500m,fl_gnis_name_ind_count_2500m,fl_totdasqkm_sum_2500m,fl_flow_type_count_2500m,fl_streamorde_sum_2500m,fl_intephem_sum_2500m,fl_startflag_sum_2500m,fl_divergence_sum_2500m,fl_length_sum_2500m,fl_ftype_artificialpath_2500m,fl_ftype_canalditch_2500m,fl_ftype_coastline_2500m,fl_ftype_connector_2500m,fl_ftype_pipeline_2500m,fl_ftype_streamriver_2500m,wb_area_sum_200m,wb_gnis_name_ind_count_200m,wb_ftype_artificialpath_200m,wb_ftype_canalditch_200m,wb_ftype_coastline_200m,wb_ftype_connector_200m,wb_ftype_pipeline_200m,wb_ftype_streamriver_200m,fl_areasqkm_sum_200m,fl_gnis_name_ind_count_200m,fl_totdasqkm_sum_200m,fl_flow_type_count_200m,fl_streamorde_sum_200m,fl_intephem_sum_200m,fl_startflag_sum_200m,fl_divergence_sum_200m,fl_length_sum_200m,fl_ftype_artificialpath_200m,fl_ftype_canalditch_200m,fl_ftype_coastline_200m,fl_ftype_connector_200m,fl_ftype_pipeline_200m,fl_ftype_streamriver_200m
3375,MVN-2015-02461-SR,7.178,1,0,2,0,0,0,0,14.6583,7,58.7628,7,10,0,0,0,,3,0,0,0,0,4,7.161,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3376,MVN-2015-02472-ST,248.665,0,0,0,0,0,0,2,20.7081,13,3078.3573,13,6,0,0,0,,0,11,1,0,0,1,129.265,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0
3377,MVN-2015-02473-ST,248.665,0,0,0,0,0,0,2,20.7081,14,3078.3573,14,6,0,0,0,,0,12,1,0,0,1,129.265,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0
3378,MVN-2015-02477-ST,225.891,1,0,3,0,0,0,2,131.8599,3,131.8599,3,2,0,2,0,,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3379,MVN-2015-02484-SJ,616.268,0,0,0,0,0,0,4,22.6953,6,1135.3644,6,9,0,0,3,,4,1,0,0,0,1,0.0,0,0,0,0,0,0,0,2.1411,2,292.3371,2,2,0,0,1,0.0,0,1,0,0,0,1
3380,MVN-2015-02504-SQ,2.426,0,0,1,0,0,0,1,24.4512,2,2880727.559,2,11,0,0,0,,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3381,MVN-2015-02514-SA,0.0,0,0,0,0,0,0,0,36.1134,3,445.0626,3,7,0,1,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3382,MVN-2015-02519-SR,231.347,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,231.347,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3383,MVN-2015-02524-SQ,0.0,0,0,0,0,0,0,0,12.7899,8,55.9494,8,11,6,5,0,0.0,0,0,0,0,0,8,0.0,0,0,0,0,0,0,0,4.3425,1,4.3425,1,1,1,1,0,0.0,0,0,0,0,0,1
3384,MVN-2015-02532-WLL,2.986,0,0,0,0,0,0,1,16.1442,4,623.0808,4,7,0,0,0,,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3385,MVN-2015-02539-ES,228.073,0,0,2,0,0,0,3,0.0,5,0.0,5,0,0,0,0,,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3386,MVN-2015-02547-SB,54.536,0,0,0,0,0,0,2,15.6069,17,12920.7186,17,47,0,2,3,,10,2,0,0,0,5,32.753,0,0,0,0,0,1,0,4.3002,1,4.3002,1,1,0,1,0,,0,0,0,0,0,1
3387,MVN-2015-02550-SA,0.0,0,0,0,0,0,0,0,19.7442,4,25.2909,4,5,4,3,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3388,MVN-2015-02556-SJ,1647.764,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3389,MVN-2016-00017-SB,467.62,0,0,0,0,0,0,3,19.746,10,20180391.72,10,12,0,1,0,,6,2,0,0,0,2,0.0,0,0,0,0,0,0,0,0.2925,1,2882770.075,1,1,0,0,0,0.0,1,0,0,0,0,0
3390,MVN-2016-00019-SQ,0.011,0,0,1,0,0,0,0,15.4701,2,28.3077,2,4,2,0,0,,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3391,MVN-2016-00020-SA,238.666,0,0,1,0,0,0,3,17.9325,19,320.4378,19,11,0,0,3,,0,16,0,0,0,3,3.617,0,0,0,0,0,1,0,0.0,3,0.0,3,0,0,0,0,,0,3,0,0,0,0
3392,MVN-2016-00021-EPP,0.371,0,0,6,0,0,0,0,0.0,6,0.0,6,0,0,0,0,,0,4,0,0,0,2,0.02,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3393,MVN-2016-00023-SY,210.837,0,0,3,0,0,0,3,10.5327,4,33931.3896,4,9,0,1,2,,3,0,0,0,0,1,7.156,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3394,MVN-2016-00024-SB,1417.805,0,0,4,0,0,0,2,3.0654,10,13755.9114,10,10,0,0,0,,2,6,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3395,MVN-2016-00028-SB,1.339,0,0,1,0,0,0,2,11.0583,1,3636.7317,1,6,0,0,0,,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3396,MVN-2016-00034-SY,31.244,0,0,6,0,0,0,5,16.9236,5,30.078,5,1,0,0,0,,1,4,0,0,0,0,14.107,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3397,MVN-2016-00035-SJ,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3398,MVN-2016-00041-SB,0.018,0,0,1,0,0,0,0,23.5764,8,111.2013,8,12,5,2,0,,0,0,0,1,0,7,0.0,0,0,0,0,0,0,0,1.3563,1,1.3563,1,1,1,1,0,0.0,0,0,0,0,0,1
3399,MVN-2016-00057-SR,130.423,1,0,3,0,0,0,2,0.0,7,0.0,7,0,0,0,0,,2,1,0,2,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3400,MVN-2016-00063-SK,1429.37,1,0,1,0,0,0,4,0.0,2,0.0,2,0,0,0,0,,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3401,MVN-2016-00070-CM,132.106,0,0,0,0,0,0,3,7.5492,15,36.2655,15,4,0,0,0,,0,11,0,0,0,4,0.0,0,0,0,0,0,0,0,2.2941,1,8.4024,1,1,0,0,0,0.0,0,1,0,0,0,0
3402,MVN-2016-00092-SY,0.083,0,0,2,0,0,0,0,11.7972,1,2880943.146,1,10,0,0,0,,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3403,MVN-2016-00105-SY,0.0,0,0,0,0,0,0,0,20.0844,4,33.9039,4,5,1,3,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3404,MVN-2016-00106-WQQ,0.087,0,0,1,0,0,0,0,86.2812,3,1824.5565,3,10,0,0,0,,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,8.2233,1,916.3899,1,4,0,0,0,0.0,0,0,0,0,0,1
3405,MVN-2016-00107-ST,0.088,0,0,1,0,0,0,0,34.614,5,2880811.859,5,16,0,2,0,,1,3,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3406,MVN-2016-00110-SB,212.701,0,0,1,0,0,0,4,10.6659,3,10.944,3,2,1,1,0,,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.2781,1,0.2781,1,1,1,1,0,0.0,0,0,0,0,0,1
3407,MVN-2016-00115-ST,0.0,0,0,0,0,0,0,0,6.4179,1,2880949.719,1,10,0,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3408,MVN-2016-00121-SB,520.669,1,0,0,0,0,0,5,37.1151,2,75.4821,2,2,0,0,0,,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3409,MVN-2016-00124-SB,520.669,1,0,0,0,0,0,5,37.1151,2,75.4821,2,2,0,0,0,,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3410,MVN-2016-00132-SA,7.731,1,0,3,0,0,0,7,9.5859,19,79994.1339,19,103,3,0,3,,12,0,0,0,0,7,0.0,0,0,0,0,0,0,0,0.9324,1,4703.7384,1,6,0,0,0,0.0,1,0,0,0,0,0
3411,MVN-2016-00135-WKK,20.196,0,0,2,0,0,0,3,21.3876,2,16383.2832,2,12,0,0,0,,2,0,0,0,0,0,15.126,0,0,2,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3412,MVN-2016-00143-SK,0.086,0,0,2,0,0,0,0,11.7234,3,143.0568,3,6,0,1,0,,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,3.8124,1,33.9804,1,2,0,0,0,0.0,0,0,0,0,0,1
3413,MVN-2016-00153-SJ,131.764,0,0,5,0,0,0,1,4.3065,7,-49993.6383,7,2,0,2,0,,0,0,5,0,0,2,0.0,0,0,0,0,0,0,0,0.6579,1,-9999.0,1,0,0,0,0,0.0,0,0,1,0,0,0
3414,MVN-2016-00155-ST,0.0,0,0,0,0,0,0,0,8.2539,3,8.2539,3,3,3,3,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3415,MVN-2016-00168-SY,131.659,0,0,2,0,0,0,1,6.7302,19,-79960.8213,19,2,0,1,0,,0,9,8,0,0,2,131.604,0,0,0,0,0,1,0,1.3428,1,-9999.0,1,0,0,0,0,,0,0,1,0,0,0
3416,MVN-2016-00169-ST,193.747,1,0,6,0,0,0,3,24.1407,30,206.2098,30,33,0,2,3,,18,3,0,0,0,9,159.396,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3417,MVN-2016-00194-SY,86.429,0,0,5,0,0,0,2,10.7874,11,10.7874,11,1,0,1,0,,0,8,0,0,0,3,72.539,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0
3418,MVN-2016-00197-SQ,34.863,0,0,1,0,0,0,1,0.0,8,0.0,8,0,2,0,0,,0,6,0,0,0,2,34.833,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3419,MVN-2016-00205-SQ,34.863,0,0,1,0,0,0,1,0.0,8,0.0,8,0,2,0,0,,0,6,0,0,0,2,34.833,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3420,MVN-2016-00207-SA,0.079,0,0,2,0,0,0,0,29.0088,7,5757233.67,7,24,4,4,0,,2,0,0,0,0,5,0.079,0,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3421,MVN-2016-00208-SB,0.056,0,0,2,0,0,0,0,15.1695,4,658.4832,4,11,0,1,0,,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,6.7806,1,6.7806,1,1,0,1,0,0.0,0,0,0,0,0,1
3422,MVN-2016-00209-SJ,0.0,0,0,0,0,0,0,0,18.8955,11,600.0723,11,28,5,2,0,0.0,0,0,0,0,0,11,0.0,0,0,0,0,0,0,0,3.546,3,269.2377,3,11,0,0,0,0.0,0,0,0,0,0,3
3423,MVN-2016-00210-SJ,0.0,0,0,0,0,0,0,0,18.8955,11,600.0723,11,28,5,2,0,0.0,0,0,0,0,0,11,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3424,MVN-2016-00226-SA,5.046,0,0,1,0,0,0,1,105.4278,3,6402.8142,3,6,0,0,0,,1,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3425,MVN-2016-00227-CQ,35.474,0,0,0,0,0,0,4,70.893,7,599.1291,7,3,1,0,0,,1,5,0,0,0,1,34.833,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3426,MVN-2016-00232-ST,0.0,0,0,0,0,0,0,0,17.7057,11,2505.7143,11,31,3,2,3,0.0,1,0,0,0,0,10,0.0,0,0,0,0,0,0,0,1.692,1,1.692,1,1,1,1,0,0.0,0,0,0,0,0,1
3427,MVN-2016-00241-SK,22.56,1,0,0,0,0,0,1,8.8173,3,24.4422,3,4,1,1,0,,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3428,MVN-2016-00242-SR,14.423,0,0,0,0,0,0,3,10.3977,5,3117.258,5,6,2,2,0,,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3429,MVN-2016-00252-SY,653.663,1,0,5,0,0,0,10,41.8068,5,1626.5232,5,6,0,0,0,,3,2,0,0,0,0,87.555,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3430,MVN-2016-00257-SQ,0.0,0,0,0,0,0,0,0,0.0,11,0.0,11,0,0,0,0,0.0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3431,MVN-2016-00259-SK,52.422,0,0,1,0,0,0,2,6.8994,7,2881481.968,7,10,0,0,1,,1,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3432,MVN-2016-00260-CO,0.0,0,0,0,0,0,0,0,3.0051,7,3.9906,7,5,0,3,0,0.0,1,2,0,0,0,4,0.0,0,0,0,0,0,0,0,0.5328,1,0.5328,1,1,0,1,0,0.0,0,1,0,0,0,0
3433,MVN-2016-00264-SJ,0.052,0,0,1,0,0,0,0,11.3058,4,24.0624,4,5,2,2,0,,0,0,0,0,1,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3434,MVN-2016-00282-SY,0.0,0,0,0,0,0,0,0,3.1671,2,3.1671,2,1,2,1,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3435,MVN-2016-00291-SQ,202.361,0,0,4,0,0,0,2,0.0,2,0.0,2,0,0,0,0,,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3436,MVN-2016-00331-SA,121.074,0,0,0,0,0,0,2,30.7656,8,213.9174,8,2,0,0,0,,2,6,0,0,0,0,115.219,0,0,0,0,0,1,0,30.3246,1,106.7382,1,1,0,0,0,,1,0,0,0,0,0
3437,MVN-2016-00335-SK,0.0,0,0,0,0,0,0,0,10.962,10,78.2604,10,10,1,2,0,0.0,0,3,0,0,0,7,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3438,MVN-2016-00355-WPP,0.0,0,0,0,0,0,0,0,38.4192,4,67.9176,4,5,1,3,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3439,MVN-2016-00363-SY,0.018,0,0,1,0,0,0,0,15.5286,10,380.4156,10,20,2,2,4,,0,1,0,0,0,9,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3440,MVN-2016-00367-ES,19.242,0,0,0,0,0,0,1,0.9765,8,214.8939,8,2,0,0,0,,2,6,0,0,0,0,19.242,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3441,MVN-2016-00370-ST,4.365,0,0,1,0,0,0,1,0.0,4,0.0,4,0,0,0,0,,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3442,MVN-2016-00374-CG,20.877,1,0,1,0,0,0,4,14.5404,17,54696.3372,17,73,0,1,6,,10,4,0,0,0,3,0.0,0,0,0,0,0,0,0,1.386,1,4715.8407,1,6,0,0,0,0.0,1,0,0,0,0,0
3443,MVN-2016-00391-WKK,25.749,0,0,2,0,0,0,2,19.8306,4,1169.8911,4,6,0,0,0,,0,2,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3444,MVN-2016-00396-SK,1647.764,0,0,1,0,0,0,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3445,MVN-2016-00408-SR,1434.023,1,0,6,0,0,0,2,5.2551,6,-9993.8502,6,5,0,2,0,,2,0,1,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3446,MVN-2016-00416-SB,0.0,0,0,0,0,0,0,0,9.8379,2,16.0362,2,2,1,1,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3447,MVN-2016-00426-SK,0.0,0,0,0,0,0,0,0,20.2014,13,54.9936,13,13,12,2,12,0.0,0,0,0,0,0,13,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3448,MVN-2016-00435-CA,0.0,0,0,0,0,0,0,0,37.3203,6,78.1191,6,7,2,2,0,0.0,0,1,0,0,0,5,0.0,0,0,0,0,0,0,0,7.0488,1,7.0488,1,1,1,1,0,0.0,0,0,0,0,0,1
3449,MVN-2016-00448-XX,0.217,0,0,4,0,0,0,0,0.0,4,0.0,4,0,0,0,0,,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3450,MVN-2016-00453-SJ,34.954,1,0,1,0,0,0,3,34.5744,9,3173.9607,9,21,1,2,0,,6,0,0,0,0,3,10.422,0,0,0,0,0,1,0,17.01,1,1067.7168,1,5,0,0,0,,1,0,0,0,0,0
3451,MVN-2016-00459-ES,0.041,0,0,2,0,0,0,0,35.6949,4,108.0621,4,6,0,1,0,,1,0,0,0,0,3,0.0,0,0,0,0,0,0,0,1.5507,1,36.0126,1,2,0,0,0,0.0,0,0,0,0,0,1
3452,MVN-2016-00461-SQ,59.104,0,0,0,0,0,0,1,0.0,10,0.0,10,0,0,0,0,,0,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3453,MVN-2016-00462-XX,0.0,0,0,0,0,0,0,0,22.8951,3,2881390.388,3,10,0,0,0,0.0,1,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3454,MVN-2016-00468-WII,25.257,0,0,1,0,0,0,3,19.4292,3,16361.8956,3,17,0,0,0,,3,0,0,0,0,0,2.448,0,0,0,0,0,1,0,16.4448,1,1985.0706,1,5,0,0,0,,1,0,0,0,0,0
3455,MVN-2016-00469-CA,1216.218,0,0,0,0,0,0,1,415.0215,38,611.4141,38,3,0,0,0,,0,38,0,0,0,0,1216.218,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3456,MVN-2016-00470-SJ,0.0,0,0,0,0,0,0,0,21.9564,10,150.3675,10,19,6,5,0,0.0,0,0,0,0,0,10,0.0,0,0,0,0,0,0,0,0.279,1,28.0305,1,3,0,0,0,0.0,0,0,0,0,0,1
3457,MVN-2016-00471-SQ,0.0,0,0,0,0,0,0,0,9.4311,5,509.067,5,11,3,2,0,0.0,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3458,MVN-2016-00474-SQ,140.514,0,0,0,0,0,0,2,30.6171,7,720.846,7,3,0,0,0,,1,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3459,MVN-2016-00483-SA,0.0,0,0,0,0,0,0,0,21.7899,10,62.1792,10,12,8,5,0,0.0,0,0,0,0,0,10,0.0,0,0,0,0,0,0,0,1.4805,1,10.0485,1,1,1,0,0,0.0,0,0,0,0,0,1
3460,MVN-2016-00485-SQ,0.0,0,0,0,0,0,0,0,6.4179,1,2880949.719,1,10,0,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3461,MVN-2016-00493-SR,5.717,0,0,0,0,0,0,2,141.0102,9,46370.9007,9,30,0,1,3,,7,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3462,MVN-2016-00495-SQ,10.462,0,0,0,0,1,0,1,22.8951,4,2881390.388,4,10,0,0,0,,1,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0.0,0,1,0,0,0,0
3463,MVN-2016-00499-XX,1647.764,0,0,1,0,0,0,0,0.0,5,0.0,5,0,0,0,0,,0,5,0,0,0,0,1647.764,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3464,MVN-2016-00506-ST,0.0,0,0,0,0,0,0,0,22.8951,5,2881390.388,5,10,0,0,0,0.0,1,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3465,MVN-2016-00508-SQ,0.0,0,0,0,0,0,0,0,25.1622,4,42.7644,4,5,1,1,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3466,MVN-2016-00524-SA,0.161,0,0,1,0,1,0,0,29.241,4,2880798.331,4,14,0,2,0,,1,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.8505,1,0.8505,1,1,0,1,0,0.0,0,1,0,0,0,0
3467,MVN-2016-00526-SY,82.017,1,0,5,0,0,0,8,87.3873,10,840.0879,10,4,0,0,2,,1,9,0,0,0,0,2.75,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0
3468,MVN-2016-00528-ST,434.101,1,0,5,0,0,0,1,30.8376,6,68.2146,6,8,0,1,0,,2,1,0,0,0,3,200.813,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3469,MVN-2016-00530-CM,0.059,0,0,3,0,0,0,0,15.4935,10,442.5399,10,22,4,3,3,,0,0,0,0,0,10,0.0,0,0,0,0,0,0,0,0.8226,1,1.7172,1,1,0,0,0,0.0,0,0,0,0,0,1
3470,MVN-2016-00549-SJ,0.0,0,0,0,0,0,0,0,22.8951,7,2881390.388,7,10,0,0,0,0.0,1,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3471,MVN-2016-00558-SG,44.917,0,0,0,0,0,0,1,23.9841,12,35.3097,12,3,0,2,0,,0,8,0,0,0,4,44.917,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3472,MVN-2016-00559-SJ,11.178,0,0,1,0,0,0,1,5.787,2,1179.5904,2,5,0,1,0,,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3473,MVN-2016-00564-SG,0.0,0,0,0,0,0,0,0,0.0,10,0.0,10,0,0,0,0,0.0,0,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3474,MVN-2016-00573-ST,365.518,0,0,0,0,0,0,3,49.4073,11,8648929.011,11,22,0,2,0,,5,1,0,0,0,5,10.721,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3475,MVN-2016-00574-SR,3.175,0,0,1,0,0,0,1,30.0285,5,327.2886,5,9,0,1,3,,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3476,MVN-2016-00577-WPP,384.367,0,0,0,0,0,0,1,0.0,3,0.0,3,0,0,0,0,,0,1,0,0,0,2,384.367,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3477,MVN-2016-00583-SA,1277.455,1,0,7,0,0,0,4,68.2362,17,2991.7629,17,12,0,0,3,,4,13,0,0,0,0,6.825,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,0,0,,0,1,0,0,0,0
3478,MVN-2016-00601-SY,1217.428,0,0,2,0,0,0,1,5.0472,5,8.7759,5,1,0,0,0,,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3479,MVN-2016-00605-CA,0.106,0,0,4,0,0,0,0,19.0323,4,2880700.897,4,12,0,2,1,,1,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3480,MVN-2016-00624-CO,849.984,1,0,0,0,0,0,2,14.2641,12,4637.0466,12,32,0,1,8,,0,9,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
3481,MVN-2016-00625-SK,91.677,0,0,0,0,0,0,5,7.5222,5,2881497.787,5,10,0,0,0,,1,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
