,da_number,wb_area_sum_2500m,wb_gnis_name_ind_count_2500m,wb_ftype_artificialpath_2500m,wb_ftype_canalditch_2500m,wb_ftype_coastline_2500m,wb_ftype_connector_2500m,wb_ftype_pipeline_2500m,wb_ftype_streamriver_2500m,fl_areasqkm_sum_2500m,fl_gnis_name_ind_count_2500m,fl_totdasqkm_sum_2500m,fl_flow_type_count_2500m,fl_streamorde_sum_2500m,fl_intephem_sum_2500m,fl_startflag_sum_2500m,fl_divergence_sum_2500m,fl_length_sum_2500m,fl_ftype_artificialpath_2500m,fl_ftype_canalditch_2500m,fl_ftype_coastline_2500m,fl_ftype_connector_2500m,fl_ftype_pipeline_2500m,fl_ftype_streamriver_2500m,wb_area_sum_200m,wb_gnis_name_ind_count_200m,wb_ftype_artificialpath_200m,wb_ftype_canalditch_200m,wb_ftype_coastline_200m,wb_ftype_connector_200m,wb_ftype_pipeline_200m,wb_ftype_streamriver_200m,fl_areasqkm_sum_200m,fl_gnis_name_ind_count_200m,fl_totdasqkm_sum_200m,fl_flow_type_count_200m,fl_streamorde_sum_200m,fl_intephem_sum_200m,fl_startflag_sum_200m,fl_divergence_sum_200m,fl_length_sum_200m,fl_ftype_artificialpath_200m,fl_ftype_canalditch_200m,fl_ftype_coastline_200m,fl_ftype_connector_200m,fl_ftype_pipeline_200m,fl_ftype_streamriver_200m
20,LRB-2004-02452,0.0,0,0,0,0,0,0,0,13.9797,9,772.6095,9,24,0,2,0,0.0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0,8.8083,3,301.7547,3,8,0,0,0,0.0,0,0,0,0,0,3
21,LRB-2005-00781,12058.862,1,0,3,0,0,0,2,8.4555,13,-9912.2769,13,2,0,0,0,,0,11,2,0,0,1,12045.529,1,0,1,0,0,0,0,4.8177,1,-9999.0,1,0,0,0,0,,0,0,1,0,0,0
22,LRB-2005-02179,0.0,0,0,0,0,0,0,0,7.1595,1,11.4129,1,1,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
23,LRB-2006-00574,0.258,1,0,4,0,0,0,0,8.9946,4,8.9946,4,3,4,3,0,,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,3.0906,1,3.0906,1,1,1,1,0,0.0,0,0,0,0,0,1
24,LRB-2006-00755,0.0,0,0,0,0,0,0,0,13.7709,3,13.7709,3,3,3,3,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
25,LRB-2006-02278,0.0,0,0,0,0,0,0,0,6.1227,4,75.411,4,5,1,1,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,3.8016,1,39.6063,1,2,0,0,0,0.0,0,0,0,0,0,1
26,LRB-2007-01594,0.0,0,0,0,0,0,0,0,9.3744,7,16.5465,7,9,1,5,0,0.0,0,6,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
27,LRB-2008-00278,42.301,1,0,2,0,0,0,0,9.1332,3,37.0269,3,5,0,1,0,,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
28,LRB-2008-00768,0.0,0,0,0,0,0,0,0,12.6216,6,24.2739,6,7,1,3,0,0.0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
29,LRB-2008-00809,0.0,0,0,0,0,0,0,0,12.8763,9,2036.6037,9,29,3,3,0,0.0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
30,LRB-2008-00987,0.015,0,0,1,0,0,0,0,7.2378,4,1877.6349,4,11,0,0,2,,0,2,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
31,LRB-2009-00630,0.088,1,0,1,0,0,0,0,23.5404,13,6907.4433,13,25,0,5,0,,6,0,0,0,0,7,0.0,0,0,0,0,0,0,0,2.7072,1,2.7072,1,1,0,1,0,0.0,0,0,0,0,0,1
32,LRB-2009-01161,0.0,0,0,0,0,0,0,0,20.7927,24,1636.4727,24,64,0,8,0,0.0,3,0,0,0,0,21,0.0,0,0,0,0,0,0,0,2.3364,1,9.7353,1,2,0,0,0,0.0,0,0,0,0,0,1
33,LRB-2009-01524,0.0,0,0,0,0,0,0,0,17.0289,9,98.1567,9,15,6,5,0,0.0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0,2.0709,1,2.0709,1,1,1,1,0,0.0,0,0,0,0,0,1
34,LRB-2010-00927,0.329,1,0,1,0,0,0,0,13.77,12,287.9478,12,18,3,3,0,,3,0,0,0,0,9,0.329,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
