,da_number,district,longitude,latitude,cwa_determination,potential_wetland,county,state
90,LRB-2015-00789,0,-84.54607,41.68553,0,1,36,39.0
91,LRB-2015-00830,0,-78.01719,42.92696,1,1,24,36.0
92,LRB-2015-00834,0,-76.29515,43.15608,0,1,28,36.0
93,LRB-2015-00838,0,-75.86424,42.94904,1,0,1,36.0
94,LRB-2015-00839,0,-77.31528,42.78071,1,0,17,36.0
95,LRB-2015-00847,0,-78.69796,43.00872,0,1,3,36.0
96,LRB-2015-00865,0,-82.60109,41.26663,1,1,37,39.0
97,LRB-2015-00873,0,-77.15945,42.46758,1,0,5,36.0
98,LRB-2015-00882,0,-78.18554,42.38407,1,1,38,36.0
99,LRB-2015-00883,0,-78.18558,42.38395,1,0,38,36.0
100,LRB-2015-00884,0,-78.18562,42.38391,1,0,38,36.0
101,LRB-2015-00900,0,-80.91018,41.34824,1,0,39,39.0
102,LRB-2015-00928,0,-78.86977,42.72001,0,1,3,36.0
103,LRB-2015-00931,0,-78.73978,42.79437,1,1,3,36.0
104,LRB-2015-00935,0,-77.19938,42.42592,1,0,5,36.0
105,LRB-2015-00941,0,-81.55408,41.4259,0,1,8,39.0
106,LRB-2015-00960,0,-81.40242,41.60048,1,0,12,39.0
107,LRB-2015-00962,0,-82.71011,41.03501,0,1,37,39.0
108,LRB-2015-00978,0,-81.36637,41.33494,1,1,15,39.0
109,LRB-2015-01037,0,-78.78515,42.90237,0,1,3,36.0
110,LRB-2015-01054,0,-81.68356,41.31231,1,0,8,39.0
111,LRB-2015-01058,0,-77.70881,42.72733,1,0,13,36.0
112,LRB-2015-01076,0,-82.00983,41.46623,1,0,10,39.0
113,LRB-2015-01117,0,-78.96601,42.70817,0,1,3,36.0
114,LRB-2015-01127,0,-77.25596,42.85549,1,0,17,36.0
115,LRB-2015-01132,0,-77.19192,43.05071,1,1,27,36.0
116,LRB-2015-01133,0,-76.29698,42.88579,1,0,28,36.0
117,LRB-2015-01141,0,-81.33101,41.69343,0,0,12,39.0
118,LRB-2015-01161,0,-78.93488,43.08636,1,1,4,36.0
119,LRB-2015-01162,0,-76.06711,43.10625,0,1,28,36.0
120,LRB-2015-01169,0,-78.8249,42.76659,0,1,3,36.0
121,LRB-2015-01182,0,-75.96191,43.7692,0,1,40,36.0
122,LRB-2015-01186,0,-82.06356,41.44111,1,1,10,39.0
123,LRB-2015-01187,0,-83.63253,41.04182,1,0,30,39.0
124,LRB-2015-01188,0,-83.79465,41.11339,1,1,30,39.0
125,LRB-2015-01217,0,-82.65285,41.43318,1,1,3,39.0
126,LRB-2015-01224,0,-84.07737,40.73008,1,0,41,39.0
127,LRB-2015-01225,0,-81.96564,41.42181,1,0,8,39.0
128,LRB-2015-01231,0,-83.53201,41.6396,1,1,16,39.0
129,LRB-2015-01241,0,-78.47549,42.43126,1,1,42,36.0
130,LRB-2015-01242,0,-77.81382,43.05332,1,0,23,36.0
131,LRB-2015-01254,0,-78.78878,43.15464,1,0,4,36.0
132,LRB-2015-01260,0,-81.93902,41.48622,1,0,8,39.0
133,LRB-2015-01271,0,-79.03341,42.65213,1,1,3,36.0
134,LRB-2015-01290,0,-81.36469,41.33796,1,0,15,39.0
135,LRB-2015-01320,0,-77.08603,42.88672,1,0,17,36.0
136,LRB-2015-01338,0,-76.30021,42.5566,1,0,21,36.0
137,LRB-2015-01344,0,-78.03225,42.68314,1,0,2,36.0
138,LRB-2015-01357,0,-77.26457,42.80143,1,0,17,36.0
139,LRB-2015-01367,0,-77.36462,42.69379,1,0,17,36.0
140,LRB-2016-00021,0,-78.78191,42.73637,1,1,3,36.0
141,LRB-2016-00037,0,-77.21746,42.41254,1,0,5,36.0
142,LRB-2016-00057,0,-83.1958,41.62353,1,0,16,39.0
143,LRB-2016-00071,0,-83.69389,41.05672,1,0,30,39.0
144,LRB-2016-00072,0,-83.78836,41.04593,1,1,30,39.0
145,LRB-2016-00076,0,-77.73534,43.16348,0,1,23,36.0
146,LRB-2016-00077,0,-77.15394,42.55664,1,0,5,36.0
147,LRB-2016-00121,0,-74.6708,44.1098,1,1,6,36.0
148,LRB-2016-00132,0,-78.02932,42.71024,1,0,2,36.0
149,LRB-2016-00136,0,-78.02939,42.71007,1,0,2,36.0
150,LRB-2016-00164,0,-81.37057,41.01907,1,0,15,39.0
151,LRB-2016-00173,0,-77.55665,43.08936,1,1,23,36.0
152,LRB-2016-00177,0,-78.88433,42.66487,1,1,3,36.0
153,LRB-2016-00190,0,-75.19191,44.8731,1,0,6,36.0
154,LRB-2016-00221,0,-78.39904,43.01704,1,0,24,36.0
155,LRB-2016-00235,0,-77.09568,42.56044,1,0,32,36.0
156,LRB-2016-00248,0,-76.48666,43.46484,0,1,43,36.0
157,LRB-2016-00249,0,-81.3883,41.38506,1,0,18,39.0
158,LRB-2016-00251,0,-78.72442,43.17044,1,0,4,36.0
159,LRB-2016-00256,0,-76.56162,42.37125,1,1,21,36.0
160,LRB-2016-00265,0,-75.93814,44.35303,1,0,40,36.0
161,LRB-2016-00274,0,-83.78555,41.64745,1,0,16,39.0
162,LRB-2016-00276,0,-83.75319,41.47646,0,1,16,39.0
163,LRB-2016-00284,0,-78.2849,42.25258,1,0,38,36.0
164,LRB-2016-00296,0,-81.28543,41.24878,0,0,15,39.0
165,LRB-2016-00299,0,-83.10214,41.58689,1,1,14,39.0
166,LRB-2016-00322,0,-81.60104,41.49462,1,0,8,39.0
167,LRB-2016-00329,0,-83.8247,41.65797,1,0,16,39.0
168,LRB-2016-00350,0,-77.24685,42.88587,1,1,17,36.0
169,LRB-2016-00409,0,-76.23292,42.55551,0,1,44,36.0
170,LRB-2016-00439,0,-78.98213,43.04116,0,1,3,36.0
171,LRB-2016-00467,0,-84.16089,40.69363,1,1,41,39.0
172,LRB-2016-00471,0,-83.26086,41.56703,1,0,14,39.0
173,LRB-2016-00472,0,-77.50917,42.78794,1,1,17,36.0
174,LRB-2016-00500,0,-84.28014,41.29204,1,1,45,39.0
175,LRB-2016-00514,0,-75.3187,44.1539,1,0,46,36.0
176,LRB-2016-00515,0,-75.2362,44.1668,1,0,6,36.0
177,LRB-2016-00520,0,-84.29996,41.28597,1,1,45,39.0
178,LRB-2016-00539,0,-78.80149,43.00403,0,1,3,36.0
179,LRB-2016-00551,0,-81.61293,41.50796,1,0,8,39.0
180,LRB-2016-00564,0,-78.64328,43.00321,1,1,3,36.0
181,LRB-2016-00565,0,-77.73495,43.21743,1,0,23,36.0
182,LRB-2016-00581,0,-81.53749,41.1207,0,0,9,39.0
183,LRB-2016-00593,0,-83.47318,41.71142,0,1,16,39.0
184,LRB-2016-00643,0,-83.83361,41.25528,1,0,33,39.0
185,LRB-2016-00646,0,-78.16658,43.25506,1,0,19,36.0
186,LRB-2016-00792,0,-78.73382,42.83358,1,1,3,36.0
187,LRB-2016-00798,0,-83.81965,41.6216,0,1,16,39.0
188,LRB-2016-00805,0,-77.71176,42.84588,0,1,13,36.0
189,LRB-2016-00809,0,-76.30968,42.06584,1,0,31,36.0
190,LRB-2016-00836,0,-76.22379,42.1206,1,0,31,36.0
191,LRB-2016-00844,0,-81.4522,41.11468,0,1,9,39.0
192,LRB-2016-00862,0,-78.78082,42.69371,0,1,3,36.0
193,LRB-2016-00885,0,-84.27626,41.26589,1,0,45,39.0
194,LRB-2016-00886,0,-84.27749,41.26296,1,0,45,39.0
195,LRB-2016-00887,0,-84.28078,41.26102,1,0,45,39.0
196,LRB-2016-00907,0,-79.01418,43.19407,1,1,4,36.0
197,LRB-2016-00915,0,-77.27911,43.22481,1,1,27,36.0
198,LRB-2016-00916,0,-76.19833,43.1494,0,1,28,36.0
199,LRB-2016-00929,0,-76.55707,43.02488,0,1,0,36.0
200,LRB-2016-00937,0,-78.95,42.716,1,0,3,36.0
201,LRB-2016-00961,0,-83.74686,41.50722,0,1,16,39.0
202,LRB-2016-00963,0,-83.57163,41.5553,0,1,33,39.0
203,LRB-2016-00982,0,-82.22343,41.41356,0,1,10,39.0
204,LRB-2016-01025,0,-78.79559,42.82017,1,1,3,36.0
205,LRB-2016-01026,0,-78.78062,42.99194,1,1,3,36.0
206,LRB-2016-01027,0,-77.24716,42.88829,1,1,17,36.0
207,LRB-2016-01048,0,-78.80823,42.77189,1,1,3,36.0
208,LRB-2016-01058,0,-81.9864,41.49618,1,1,10,39.0
209,LRB-2016-01082,0,-76.6765,42.0946,0,1,47,36.0
210,LRB-2016-01154,0,-78.70619,42.95226,1,0,3,36.0
211,LRB-2016-01169,0,-76.65207,42.45607,0,1,21,36.0
212,LRB-2016-01176,0,-81.32463,41.13594,0,1,15,39.0
213,LRB-2016-01182,0,-75.93823,43.97753,1,0,40,36.0
